matchId,slug,playerid,overs,balls,maidens,conceded,wickets,economy,runsPerBall,dots,fours,sixes,wides,noballs
1359484,ravi-bishnoi,1175441,4,24,0,16,1,4,0.66,10,0,0,1,0
1359484,deepak-hooda,497121,1,6,0,8,0,8,1.33,1,1,0,0,0
1359484,amit-mishra,31107,4,24,0,23,2,5.75,0.95,10,3,0,0,0
1359484,bhuvneshwar-kumar,326016,2,12,0,19,1,9.5,1.58,7,1,1,1,0
1359484,washington-sundar,719715,1,6,0,11,0,11,1.83,1,2,0,0,0
1359484,fazalhaq-farooqi,974175,3,18,0,13,1,4.33,0.72,12,2,0,1,0
1359484,aiden-markram,600498,2,12,0,14,0,7,1.16,5,2,0,0,0
1359484,adil-rashid,244497,3,18,0,23,2,7.66,1.27,8,2,1,0,0
1359484,t-natarajan,802575,3,18,0,23,0,7.66,1.27,7,1,1,1,0
1359484,umran-malik,1246528,2,12,0,22,1,11,1.83,7,3,0,2,0
1359485,khaleel-ahmed,942645,2,12,0,31,0,15.5,2.58,3,6,0,2,0
1359485,anrich-nortje,481979,4,24,0,44,0,11,1.83,10,6,2,0,0
1359485,mukesh-kumar,926851,4,24,0,36,2,9,1.5,8,3,2,0,0
1359485,axar-patel,554691,4,24,0,38,0,9.5,1.58,6,5,1,0,0
1359485,kuldeep-yadav,559235,4,24,0,31,1,7.75,1.29,8,2,1,0,0
1359485,rovman-powell,820351,2,12,0,18,1,9,1.5,4,1,1,1,1
1359485,trent-boult,277912,4,24,1,29,3,7.25,1.2,11,5,0,0,0
1359485,sandeep-sharma,438362,4,24,0,20,1,5,0.83,11,2,0,1,0
1359485,ravichandran-ashwin,26421,4,24,0,25,2,6.25,1.04,10,2,0,3,0
1359485,jason-holder,391485,3,18,0,28,0,9.33,1.55,4,4,0,1,0
1359485,yuzvendra-chahal,430246,4,24,0,27,3,6.75,1.12,8,2,0,2,0
1359485,murugan-ashwin,528067,1,6,0,11,0,11,1.83,0,0,0,0,1
1359486,deepak-chahar,447261,1,6,0,10,0,10,1.66,2,2,0,0,0
1359486,tushar-deshpande,822553,3,18,0,31,2,10.33,1.72,9,2,3,1,0
1359486,sisanda-magala,379776,4,24,0,37,1,9.25,1.54,4,5,0,0,0
1359486,mitchell-santner,502714,4,24,0,28,2,7,1.16,6,3,0,0,0
1359486,ravindra-jadeja,234675,4,24,0,20,3,5,0.83,9,0,1,0,0
1359486,dwaine-pretorius,327830,4,24,0,28,0,7,1.16,9,3,0,4,0
1359486,jason-behrendorff,272477,3,18,0,24,1,8,1.33,9,2,1,1,0
1359486,arshad-khan,1244751,2.1,13,0,35,0,16.15,2.69,2,5,1,3,0
1359486,cameron-green,1076713,3,18,0,20,0,6.66,1.11,6,0,1,1,0
1359486,piyush-chawla,32966,4,24,0,33,1,8.25,1.37,8,5,0,0,0
